Date,Somme_valeur_total
2022-08-15,30713.433999999997
2022-08-16,31148.716
2022-08-17,31364.454
2022-08-18,31089.27
2022-08-19,31348.584
2022-08-20,31159.042
2022-08-21,31159.042
2022-08-22,31159.042
2022-08-23,30933.988
2022-08-24,30633.98
2022-08-25,30795.948
2022-08-26,30926.174000000003
2022-08-27,30440.586
2022-08-28,30440.586
2022-08-29,30440.586
2022-08-30,29821.275999999998
2022-08-31,29451.899999999998
2022-09-01,29237.14
2022-09-02,29110.33
2022-09-03,29545.944
2022-09-04,29545.944
2022-09-05,29545.944
2022-09-06,29254.54
2022-09-07,29254.446
2022-09-08,29228.892
2022-09-09,30636.534
2022-09-10,30793.505999999998
2022-09-11,30793.505999999998
2022-09-12,30793.505999999998
2022-09-13,33246.865999999995
2022-09-14,34197.018000000004
2022-09-15,33892.553
2022-09-16,35598.969000000005
2022-09-17,34862.924999999996
2022-09-18,34862.924999999996
2022-09-19,34862.924999999996
2022-09-20,35043.34
2022-09-21,35127.068
2022-09-22,35617.988
2022-09-23,34609.402
2022-09-24,34384.578
2022-09-25,34384.578
2022-09-26,34384.578
2022-09-27,34652.873
2022-09-28,34618.284999999996
2022-09-29,34696.387
2022-09-30,33677.477999999996
2022-10-01,33926.516
2022-10-02,33926.516
2022-10-03,33926.516
2022-10-04,33656.198
2022-10-05,34338.756
2022-10-06,34265.396
2022-10-07,34804.993
2022-10-08,33829.074
2022-10-09,33829.074
2022-10-10,33829.074
2022-10-11,33635.109
2022-10-12,33395.801999999996
2022-10-13,33321.846
2022-10-14,33310.873
2022-10-15,33396.729
2022-10-16,33396.729
2022-10-17,33396.729
2022-10-18,33715.229
2022-10-19,33830.257
2022-10-20,34098.807
2022-10-21,34137.701
2022-10-22,33968.265
2022-10-23,33968.265
2022-10-24,33968.265
2022-10-25,34457.478
2022-10-26,34810.117
2022-10-27,34773.615000000005
2022-10-28,34412.003
2022-10-29,34867.782
2022-10-30,34867.782
2022-10-31,34867.782
2022-11-01,35144.886
2022-11-02,35051.885
2022-11-03,34673.798
2022-11-04,34156.357
2022-11-05,33507.384
2022-11-06,33507.384
2022-11-07,33507.384
2022-11-08,34276.88
2022-11-09,34692.256
2022-11-10,34171.164
2022-11-11,35031.36
2022-11-12,34914.35
2022-11-13,34914.35
2022-11-14,34914.35
2022-11-15,35198.221999999994
2022-11-16,35466.99
2022-11-17,34850.226
2022-11-18,34680.178
2022-11-19,34892.484000000004
2022-11-20,34892.484000000004
2022-11-21,34892.484000000004
2022-11-22,35076.758
2022-11-23,35222.58
2022-11-24,35403.71
2022-11-25,35416.348
2022-11-26,35276.208
2022-11-27,35276.208
2022-11-28,35276.208
2022-11-29,34977.28
2022-11-30,34650.486
2022-12-01,34916.509999999995
2022-12-02,35447.68199999999
2022-12-03,35225.294
2022-12-04,35225.294
2022-12-05,35225.294
2022-12-06,34960.848
2022-12-07,34337.340000000004
2022-12-08,34533.04
2022-12-09,34675.854
2022-12-10,34809.117999999995
2022-12-11,34809.117999999995
2022-12-12,34809.117999999995
2022-12-13,34613.132
2022-12-14,35337.242
2022-12-15,35191.26
2022-12-16,33772.406
2022-12-17,33414.326
2022-12-18,33414.326
2022-12-19,33414.326
2022-12-20,33179.732
2022-12-21,32902.674
2022-12-22,33645.282
2022-12-23,32950.434
2022-12-24,33013.864
2022-12-25,33013.864
2022-12-26,33013.864
2022-12-27,0.0
2022-12-28,32930.18
2022-12-29,32685.82
2022-12-30,32987.932
2022-12-31,32633.079999999998
2023-01-01,32633.079999999998
2023-01-02,32633.079999999998
2023-01-03,33707.416
2023-01-04,32987.979999999996
2023-01-05,33808.276
2023-01-06,33571.416
2023-01-07,33848.98
2023-01-08,33848.98
2023-01-09,33848.98
2023-01-10,34213.02
2023-01-11,33730.404
2023-01-12,34153.612
2023-01-13,34199.508
2023-01-14,34259.492
2023-01-15,34259.492
2023-01-16,34259.492
2023-01-17,34537.78
2023-01-18,34549.979999999996
2023-01-19,34303.736
2023-01-20,33716.684
2023-01-21,34043.119999999995
2023-01-22,34043.119999999995
2023-01-23,34043.119999999995
2023-01-24,34859.98
2023-01-25,34770.5
2023-01-26,34286.392
2023-01-27,34938.784
2023-01-28,35415.588
2023-01-29,35415.588
2023-01-30,35415.588
2023-01-31,35143.14000000001
2023-02-01,35149.695999999996
2023-02-02,35180.244
2023-02-03,36534.772
2023-02-04,36857.76
2023-02-05,36857.76
2023-02-06,36857.76
2023-02-07,36562.252
2023-02-08,36628.39200000001
2023-02-09,36545.428
2023-02-10,36528.232
2023-02-11,36227.472
2023-02-12,36227.472
2023-02-13,36227.472
2023-02-14,36583.076
2023-02-15,36361.58
2023-02-16,37510.6
2023-02-17,37496.313
2023-02-18,36748.819
2023-02-19,36748.819
2023-02-20,36748.819
2023-02-21,36889.879
2023-02-22,36345.353
2023-02-23,36352.596000000005
2023-02-24,36367.528
2023-02-25,36199.412
2023-02-26,36199.412
2023-02-27,36199.412
2023-02-28,36399.497
2023-03-01,36298.395000000004
2023-03-02,36422.87
2023-03-03,36563.758
2023-03-04,37350.022000000004
2023-03-05,37350.022000000004
2023-03-06,37350.022000000004
2023-03-07,37677.354
2023-03-08,37423.842
2023-03-09,37305.785
2023-03-10,37422.86699999999
2023-03-11,36486.443999999996
2023-03-12,36486.443999999996
2023-03-13,36486.443999999996
2023-03-14,35699.111999999994
2023-03-15,36348.152
2023-03-16,36339.780999999995
2023-03-17,36994.225
2023-03-18,36809.525
2023-03-19,36809.525
2023-03-20,36809.525
2023-03-21,36672.852
2023-03-22,36940.63
2023-03-23,37134.113
2023-03-24,36835.749
2023-03-25,36741.74
2023-03-26,36741.74
2023-03-27,36741.74
2023-03-28,36999.09
2023-03-29,36627.058
2023-03-30,37065.556
2023-03-31,37254.395000000004
2023-04-01,37754.72
2023-04-02,37754.72
2023-04-03,37754.72
2023-04-04,38471.753000000004
2023-04-05,38206.33
2023-04-06,38045.188
2023-04-07,38061.868
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,38309.661
2023-04-13,38010.380000000005
2023-04-14,37943.641
2023-04-15,38231.49399999999
2023-04-16,38231.49399999999
2023-04-17,38231.49399999999
2023-04-18,38460.266
2023-04-19,38434.33
2023-04-20,38461.743
2023-04-21,38263.531
2023-04-22,38199.282999999996
2023-04-23,38199.282999999996
2023-04-24,38199.282999999996
2023-04-25,37985.471999999994
2023-04-26,37906.62299999999
2023-04-27,37602.265
2023-04-28,37939.28400000001
2023-04-29,38328.39
2023-04-30,38328.39
2023-05-01,38328.39
2023-05-02,0.0
2023-05-03,38004.484000000004
2023-05-04,37987.099
2023-05-05,37687.532
2023-05-06,38222.816999999995
2023-05-07,38222.816999999995
2023-05-08,38222.816999999995
2023-05-09,38336.251000000004
2023-05-10,39142.39200000001
2023-05-11,39175.032
2023-05-12,39450.784
2023-05-13,39508.948000000004
2023-05-14,39508.948000000004
2023-05-15,39508.948000000004
2023-05-16,39624.988
2023-05-17,39695.892
2023-05-18,39854.992
2023-05-19,40699.06
2023-05-20,40674.42
2023-05-21,40674.42
2023-05-22,40674.42
2023-05-23,40818.888
2023-05-24,40765.384
2023-05-25,40129.304000000004
2023-05-26,40757.86
2023-05-27,41511.428
2023-05-28,41511.428
2023-05-29,41511.428
2023-05-30,41769.892
2023-05-31,41699.564
2023-06-01,42134.95
2023-06-02,41993.578
2023-06-03,43000.594000000005
2023-06-04,43000.594000000005
2023-06-05,43000.594000000005
2023-06-06,43294.971999999994
2023-06-07,43150.42
2023-06-08,43062.469999999994
2023-06-09,42802.433999999994
2023-06-10,43066.888000000006
2023-06-11,43066.888000000006
2023-06-12,43066.888000000006
2023-06-13,43274.68600000001
2023-06-14,43752.756
2023-06-15,43770.474
2023-06-16,43703.888
2023-06-17,43867.256
2023-06-18,43867.256
2023-06-19,43867.256
2023-06-20,43629.984000000004
2023-06-21,43462.466
2023-06-22,43139.102
2023-06-23,43145.536
2023-06-24,43193.404
2023-06-25,43193.404
2023-06-26,43193.404
2023-06-27,43040.744
2023-06-28,42941.754
2023-06-29,43457.581999999995
2023-06-30,43628.365999999995
2023-07-01,44011.11
2023-07-02,44011.11
2023-07-03,44011.11
2023-07-04,44162.227999999996
2023-07-05,44216.784
2023-07-06,44303.763999999996
2023-07-07,43671.863999999994
2023-07-08,43650.492
2023-07-09,43650.492
2023-07-10,43650.492
2023-07-11,44025.244
2023-07-12,44124.636
2023-07-13,44307.371999999996
2023-07-14,44246.776000000005
2023-07-15,44465.524
2023-07-16,44465.524
2023-07-17,44465.524
2023-07-18,44404.82
2023-07-19,44631.407999999996
2023-07-20,45189.259999999995
2023-07-21,45026.364
2023-07-22,45005.084
2023-07-23,45005.084
2023-07-24,45005.084
2023-07-25,45092.89200000001
2023-07-26,45419.53999999999
2023-07-27,45189.116
2023-07-28,46026.53600000001
2023-07-29,45840.668
2023-07-30,45840.668
2023-07-31,45840.668
2023-08-01,45815.936
2023-08-02,46596.76
2023-08-03,46062.064
2023-08-04,45842.568
2023-08-05,45688.619999999995
2023-08-06,45688.619999999995
2023-08-07,45688.619999999995
2023-08-08,45496.084
2023-08-09,45401.144
2023-08-10,45274.12
2023-08-11,45418.716
2023-08-12,45079.156
2023-08-13,45079.156
2023-08-14,45079.156
2023-08-15,45532.831999999995
2023-08-16,45348.224
2023-08-17,45256.96799999999
2023-08-18,44880.484
2023-08-19,44361.504
2023-08-20,44361.504
2023-08-21,44361.504
2023-08-22,44532.008
2023-08-23,45131.732
2023-08-24,45441.148
2023-08-25,45272.020000000004
2023-08-26,45080.520000000004
2023-08-27,45080.520000000004
2023-08-28,45080.520000000004
2023-08-29,45495.96
2023-08-30,46048.24
2023-08-31,46056.816
2023-09-01,46568.471999999994
2023-09-02,46657.723999999995
2023-09-03,46657.723999999995
2023-09-04,46657.723999999995
2023-09-05,46708.28
2023-09-06,46983.556
2023-09-07,46492.492
2023-09-08,46357.84
2023-09-09,46583.076
2023-09-10,46583.076
2023-09-11,46583.076
2023-09-12,46517.708
2023-09-13,46521.28
2023-09-14,46551.252
2023-09-15,47089.288
2023-09-16,47293.818999999996
2023-09-17,47293.818999999996
2023-09-18,47293.818999999996
2023-09-19,47159.591
2023-09-20,46818.957
2023-09-21,46905.99700000001
2023-09-22,46116.304
2023-09-23,46097.023
2023-09-24,46097.023
2023-09-25,46097.023
2023-09-26,46091.497
2023-09-27,45724.333
2023-09-28,45870.622
2023-09-29,45970.018
2023-09-30,46087.099
2023-10-01,46087.099
2023-10-02,46087.099
2023-10-03,46893.16
2023-10-04,46548.183999999994
2023-10-05,46580.43
2023-10-06,46272.736000000004
2023-10-07,46612.348000000005
2023-10-08,46612.348000000005
2023-10-09,46612.348000000005
2023-10-10,47012.424
2023-10-11,47660.32
2023-10-12,47456.484
2023-10-13,47975.46199999999
2023-10-14,47692.236
2023-10-15,47692.236
2023-10-16,47692.236
2023-10-17,47868.178
2023-10-18,47567.784
2023-10-19,47360.212
2023-10-20,46878.195999999996
2023-10-21,45895.716
2023-10-22,45895.716
2023-10-23,45895.716
2023-10-24,45831.862
2023-10-25,46151.92
2023-10-26,45769.302
2023-10-27,45139.232
2023-10-28,44880.58
2023-10-29,44880.58
2023-10-30,44880.58
2023-10-31,44914.32199999999
2023-11-01,45243.32
2023-11-02,45951.32
2023-11-03,46654.977999999996
2023-11-04,46809.81800000001
2023-11-05,46809.81800000001
2023-11-06,46809.81800000001
2023-11-07,46876.826
2023-11-08,47407.456
2023-11-09,47294.816
2023-11-10,47490.124
2023-11-11,47537.478
2023-11-12,47537.478
2023-11-13,47537.478
2023-11-14,48467.628000000004
2023-11-15,48639.723999999995
2023-11-16,48779.306000000004
2023-11-17,48636.622
2023-11-18,48676.641
2023-11-19,48676.641
2023-11-20,48676.641
2023-11-21,48716.854999999996
2023-11-22,48677.81
2023-11-23,49272.511
2023-11-24,49191.664
2023-11-25,48959.311
2023-11-26,48959.311
2023-11-27,48959.311
2023-11-28,48892.76
2023-11-29,48759.81199999999
2023-11-30,48872.388
2023-12-01,48822.013
2023-12-02,49358.649999999994
2023-12-03,49358.649999999994
2023-12-04,49358.649999999994
2023-12-05,49064.892
2023-12-06,49611.242999999995
2023-12-07,49608.971
2023-12-08,50484.774000000005
2023-12-09,50827.873999999996
2023-12-10,50827.873999999996
2023-12-11,50827.873999999996
2023-12-12,50804.842000000004
2023-12-13,50989.466
2023-12-14,51250.596000000005
2023-12-15,50885.85599999999
2023-12-16,51412.272
2023-12-17,51412.272
2023-12-18,51412.272
2023-12-19,51479.902
2023-12-20,51485.53999999999
2023-12-21,51731.594
2023-12-22,51250.102
2023-12-23,51426.79400000001
2023-12-24,51426.79400000001
2023-12-25,51426.79400000001
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,51156.259999999995
2023-12-29,51438.878000000004
2023-12-30,51111.242
2023-12-31,51111.242
2024-01-01,51111.242
2024-01-02,0.0
2024-01-03,51287.848
2024-01-04,51093.662
2024-01-05,51006.615999999995
2024-01-06,50857.074
2024-01-07,50857.074
2024-01-08,50857.074
2024-01-09,51102.043999999994
2024-01-10,51630.57
2024-01-11,52358.701
2024-01-12,52200.518
2024-01-13,52589.905999999995
2024-01-14,52589.905999999995
2024-01-15,52589.905999999995
2024-01-16,52681.888
2024-01-17,53005.94500000001
