Date;Action;Tickers;Nombre;Prix;Monnaie;Total;Change;En dollars
2022/8/28;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2022/9/23;Achat;T;1;16.1;Dollars;16.1;1;16.1
2022/9/28;Achat;NXST;5;170;Dollars;850;1;850
2022/9/28;Vente;VZ;-4;39.05;Dollars;-156.2;1;-156.2
2022/9/28;Vente;VZ;-8;39.05;Dollars;-312.4;1;-312.4
2022/9/29;Achat;NXST;2;165.17;Dollars;330.34;1;330.34
2022/9/25;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2022/10/2;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2022/10/31;Achat;TTE.PA;1;55.67;Dollars;55.67;1;55.67
2022/10/31;Achat;AWK;2;145.59;Dollars;291.18;1;291.18
2022/10/31;Achat;MSFT;2;232.9;Dollars;465.8;1;465.8
2022/11/4;Achat;CPK;1;106.98;Dollars;106.98;1;106.98
2022/10/30;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2022/11/29;Achat;O;5;61.79;Dollars;308.95;1;308.95
2022/11/29;Achat;MSFT;2;241.06;Dollars;482.12;1;482.12
2022/11/27;Depot;Cash;752;1;Euros;752;1.13115;850.6248
2022/12/29;Achat;COST;1;454;Dollars;454;1;454
2022/12/29;Achat;AAPL;3;128;Dollars;384;1;384
2022/12/29;Achat;O;3;63.5;Dollars;190.5;1;190.5
2022/12/29;Achat;CPK;2;119.83;Dollars;239.66;1;239.66
2022/12/25;Depot;Cash;1120;1;Euros;1120;1.13115;1266.888
2023/1/30;Achat;CTAS;2;438.49;Dollars;876.98;1;876.98
2023/1/30;Vente;HON;-5;208.81;Dollars;-1044.05;1;-1044.05
2023/1/30;Achat;CTAS;1;439.12;Dollars;439.12;1;439.12
2023/1/30;Achat;UNP;10;203.24;Dollars;2032.4;1;2032.4
2023/1/30;Vente;MMM;-14;115.56;Dollars;-1617.84;1;-1617.84
2023/1/30;Vente;HON;-4;208.77;Dollars;-835.08;1;-835.08
2023/1/30;Vente;MMM;-5;115.7;Dollars;-578.5;1;-578.5
2023/1/30;Vente;CAT;-4;264.14;Dollars;-1056.56;1;-1056.56
2023/2/2;Achat;STLD;1;124.94;Dollars;124.94;1;124.94
2023/2/2;Achat;UNP;3;214.89;Dollars;644.67;1;644.67
2023/1/29;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/2/6;Achat;O;3;67.27;Dollars;201.81;1;201.81
2023/2/6;Achat;AWK;3;155.26;Dollars;465.78;1;465.78
2023/2/6;Achat;CPK;4;124.59;Dollars;498.36;1;498.36
2023/2/7;Achat;O;1;67.38;Dollars;67.38;1;67.38
2023/2/7;Achat;RS;1;232.99;Dollars;232.99;1;232.99
2023/2/19;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/2/27;Achat;SPGI;1;342.25;Dollars;342.25;1;342.25
2023/2/27;Achat;SPGI;7;342.68;Dollars;2398.76;1;2398.76
2023/2/27;Vente;JPM;-13;142.58;Dollars;-1853.54;1;-1853.54
